titulo,diretor,ano,genero,preco
1,O Poderoso Chefão,Francis Ford Coppola,1972,Drama,25.99
2,O Senhor dos Anéis: A Sociedade do Anel,Peter Jackson,2001,Fantasia,28.99
3,A Origem,Christopher Nolan,2010,Ficção Científica,19.99
4,A Vida de Brian,Terry Gilliam,1979,Comédia,15.99
5,Pulp Fictio,Quentin Tarantino,1994,Crime,22.99
6,O Poderoso Chefão,Francis Ford Coppola,1972,Drama,25.99
7,O Senhor dos Anéis: A Sociedade do Anel,Peter Jackson,2001,Fantasia,30.99
8,A Origem,Christopher Nolan,2010,Ficção Científica,19.99
9,A Vida de Brian,Terry Gilliam,1979,Comédia,15.99
10,Pulp Fictio,Quentin Tarantino,1994,Crime,22.99
